Species,State,iNat_Records,AS_Records
Libytheana carinenta,Arizona,388,29
Celastrina echo,Arizona,186,27
Gyrocheilus patrobas,Arizona,46,25
Eurema mexicana,Arizona,132,11
Vanessa cardui,Arizona,794,9
Colias eurytheme,California,773,13
Polygonia gracilis,California,86,6
Aglais milberti,Montana,36,25
Erebia epipsodea,Montana,23,25
Lycaena heteronea,Utah,28,14
Speyeria cybele,Utah,40,10
Ochlodes sylvanoides,Utah,36,9
Lycaena mariposa,Washington,29,19
Boloria epithore,Washington,57,16
Plebejus anna,Washington,21,16
